date,temp_c
2015-01-01,2.6
2015-01-02,4.9
2015-01-03,3.8
2015-01-04,2.8
2015-01-05,2.9
2015-01-06,1.0
2015-01-07,2.2
2015-01-08,3.4
2015-01-09,6.1
2015-01-10,8.4
2015-01-11,3.4
2015-01-12,5.1
2015-01-13,9.3
2015-01-14,5.6
2015-01-15,4.7
2015-01-16,7.2
2015-01-17,2.8
2015-01-18,-0.8
2015-01-19,-0.4
2015-01-20,0.7
2015-01-21,-0.0
2015-01-22,-0.2
2015-01-23,0.0
2015-01-24,-0.6
2015-01-25,0.9
2015-01-26,1.8
2015-01-27,2.7
2015-01-28,2.5
2015-01-29,1.4
2015-01-30,0.8
2015-01-31,-0.0
2015-02-01,0.6
2015-02-02,0.4
2015-02-03,-0.8
2015-02-04,-2.2
2015-02-05,-2.5
2015-02-06,-2.6
2015-02-07,-1.3
2015-02-08,0.4
2015-02-09,3.5
2015-02-10,4.1
2015-02-11,3.2
2015-02-12,1.4
2015-02-13,-0.3
2015-02-14,-0.4
2015-02-15,1.1
2015-02-16,0.9
2015-02-17,1.2
2015-02-18,2.0
2015-02-19,1.7
2015-02-20,2.3
2015-02-21,4.6
2015-02-22,2.0
2015-02-23,1.9
2015-02-24,3.1
2015-02-25,2.1
2015-02-26,1.7
2015-02-27,2.4
2015-02-28,2.5
2015-03-01,3.3
2015-03-02,4.5
2015-03-03,4.2
2015-03-04,3.4
2015-03-05,3.2
2015-03-06,4.1
2015-03-07,6.2
2015-03-08,8.8
2015-03-09,7.9
2015-03-10,7.1
2015-03-11,4.2
2015-03-12,2.8
2015-03-13,3.1
2015-03-14,4.5
2015-03-15,6.1
2015-03-16,8.9
2015-03-17,10.3
2015-03-18,7.0
2015-03-19,5.1
2015-03-20,5.3
2015-03-21,2.6
2015-03-22,0.8
2015-03-23,3.2
2015-03-24,6.1
2015-03-25,9.1
2015-03-26,8.2
2015-03-27,6.8
2015-03-28,6.6
2015-03-29,9.1
2015-03-30,6.2
2015-03-31,5.5
2015-04-01,4.4
2015-04-02,3.5
2015-04-03,4.2
2015-04-04,3.2
2015-04-05,3.3
2015-04-06,3.6
2015-04-07,5.8
2015-04-08,7.9
2015-04-09,8.9
2015-04-10,11.6
2015-04-11,13.1
2015-04-12,9.9
2015-04-13,9.0
2015-04-14,8.9
2015-04-15,14.1
2015-04-16,9.8
2015-04-17,6.9
2015-04-18,6.2
2015-04-19,8.2
2015-04-20,9.5
2015-04-21,11.2
2015-04-22,8.5
2015-04-23,10.2
2015-04-24,12.2
2015-04-25,14.6
2015-04-26,13.5
2015-04-27,10.4
2015-04-28,7.4
2015-04-29,8.7
2015-04-30,11.3
2015-05-01,9.7
2015-05-02,9.3
2015-05-03,12.8
2015-05-04,16.5
2015-05-05,18.3
2015-05-06,15.6
2015-05-07,13.0
2015-05-08,13.2
2015-05-09,15.0
2015-05-10,11.2
2015-05-11,13.6
2015-05-12,17.6
2015-05-13,12.9
2015-05-14,10.4
2015-05-15,11.1
2015-05-16,10.9
2015-05-17,11.1
2015-05-18,13.1
2015-05-19,14.2
2015-05-20,13.1
2015-05-21,11.8
2015-05-22,13.8
2015-05-23,14.8
2015-05-24,13.8
2015-05-25,15.5
2015-05-26,13.1
2015-05-27,11.6
2015-05-28,13.8
2015-05-29,14.4
2015-05-30,13.4
2015-05-31,14.7
2015-06-01,13.9
2015-06-02,17.2
2015-06-03,18.0
2015-06-04,15.3
2015-06-05,19.9
2015-06-06,22.5
2015-06-07,18.3
2015-06-08,16.1
2015-06-09,15.1
2015-06-10,16.4
2015-06-11,17.4
2015-06-12,19.9
2015-06-13,22.1
2015-06-14,18.6
2015-06-15,15.0
2015-06-16,12.3
2015-06-17,15.2
2015-06-18,15.9
2015-06-19,14.3
2015-06-20,13.7
2015-06-21,14.2
2015-06-22,14.4
2015-06-23,13.1
2015-06-24,13.6
2015-06-25,17.1
2015-06-26,17.7
2015-06-27,18.7
2015-06-28,17.4
2015-06-29,19.7
2015-06-30,19.9
2015-07-01,20.1
2015-07-02,23.0
2015-07-03,26.0
2015-07-04,28.8
2015-07-05,29.7
2015-07-06,22.7
2015-07-07,24.2
2015-07-08,20.0
2015-07-09,15.8
2015-07-10,14.8
2015-07-11,16.8
2015-07-12,18.3
2015-07-13,16.8
2015-07-14,17.1
2015-07-15,18.3
2015-07-16,20.5
2015-07-17,23.4
2015-07-18,22.5
2015-07-19,18.6
2015-07-20,19.4
2015-07-21,22.2
2015-07-22,23.4
2015-07-23,20.0
2015-07-24,19.7
2015-07-25,21.5
2015-07-26,16.4
2015-07-27,16.8
2015-07-28,17.6
2015-07-29,16.7
2015-07-30,16.0
2015-07-31,15.2
2015-08-01,17.9
2015-08-02,21.4
2015-08-03,23.5
2015-08-04,26.4
2015-08-05,21.9
2015-08-06,25.5
2015-08-07,28.8
2015-08-08,26.1
2015-08-09,22.4
2015-08-10,25.1
2015-08-11,26.7
2015-08-12,23.4
2015-08-13,23.8
2015-08-14,27.7
2015-08-15,25.4
2015-08-16,23.5
2015-08-17,23.1
2015-08-18,19.0
2015-08-19,19.8
2015-08-20,19.3
2015-08-21,19.5
2015-08-22,20.2
2015-08-23,20.0
2015-08-24,21.7
2015-08-25,18.9
2015-08-26,20.6
2015-08-27,22.4
2015-08-28,17.8
2015-08-29,18.3
2015-08-30,22.8
2015-08-31,26.1
2015-09-01,22.4
2015-09-02,16.9
2015-09-03,16.0
2015-09-04,15.0
2015-09-05,14.2
2015-09-06,12.9
2015-09-07,13.6
2015-09-08,14.0
2015-09-09,13.2
2015-09-10,13.7
2015-09-11,14.7
2015-09-12,16.4
2015-09-13,18.9
2015-09-14,18.3
2015-09-15,16.5
2015-09-16,17.6
2015-09-17,18.6
2015-09-18,15.8
2015-09-19,14.9
2015-09-20,12.9
2015-09-21,13.2
2015-09-22,15.7
2015-09-23,13.3
2015-09-24,13.6
2015-09-25,14.0
2015-09-26,13.0
2015-09-27,11.8
2015-09-28,12.0
2015-09-29,11.8
2015-09-30,11.3
2015-10-01,10.8
2015-10-02,11.2
2015-10-03,11.9
2015-10-04,13.6
2015-10-05,13.3
2015-10-06,14.6
2015-10-07,13.4
2015-10-08,8.6
2015-10-09,8.4
2015-10-10,6.5
2015-10-11,5.2
2015-10-12,4.1
2015-10-13,4.4
2015-10-14,5.5
2015-10-15,6.8
2015-10-16,7.5
2015-10-17,8.4
2015-10-18,8.3
2015-10-19,7.8
2015-10-20,9.1
2015-10-21,8.7
2015-10-22,9.2
2015-10-23,11.2
2015-10-24,9.7
2015-10-25,9.5
2015-10-26,6.7
2015-10-27,8.5
2015-10-28,8.1
2015-10-29,7.8
2015-10-30,8.8
2015-10-31,10.0
2015-11-01,9.0
2015-11-02,5.8
2015-11-03,3.9
2015-11-04,2.7
2015-11-05,7.3
2015-11-06,10.6
2015-11-07,14.4
2015-11-08,12.4
2015-11-09,13.0
2015-11-10,13.8
2015-11-11,13.0
2015-11-12,11.3
2015-11-13,10.9
2015-11-14,7.5
2015-11-15,9.8
2015-11-16,10.8
2015-11-17,11.6
2015-11-18,11.3
2015-11-19,11.1
2015-11-20,7.4
2015-11-21,4.0
2015-11-22,1.1
2015-11-23,-0.5
2015-11-24,0.4
2015-11-25,2.8
2015-11-26,3.7
2015-11-27,1.5
2015-11-28,1.3
2015-11-29,5.5
2015-11-30,5.7
2015-12-01,5.5
2015-12-02,8.9
2015-12-03,7.0
2015-12-04,6.7
2015-12-05,6.2
2015-12-06,8.3
2015-12-07,10.2
2015-12-08,7.6
2015-12-09,6.6
2015-12-10,3.3
2015-12-11,4.4
2015-12-12,5.0
2015-12-13,5.3
2015-12-14,0.8
2015-12-15,4.2
2015-12-16,5.5
2015-12-17,10.2
2015-12-18,10.3
2015-12-19,8.9
2015-12-20,8.7
2015-12-21,9.3
2015-12-22,11.2
2015-12-23,10.9
2015-12-24,6.8
2015-12-25,8.6
2015-12-26,12.4
2015-12-27,10.2
2015-12-28,7.2
2015-12-29,4.5
2015-12-30,0.8
2015-12-31,0.5
2016-01-01,1.8
2016-01-02,-3.1
2016-01-03,-8.1
2016-01-04,-6.6
2016-01-05,-6.6
2016-01-06,-7.0
2016-01-07,-5.0
2016-01-08,2.4
2016-01-09,-0.2
2016-01-10,0.4
2016-01-11,1.9
2016-01-12,1.8
2016-01-13,0.9
2016-01-14,0.7
2016-01-15,-0.3
2016-01-16,-0.6
2016-01-17,-2.8
2016-01-18,-5.1
2016-01-19,-7.0
2016-01-20,-3.1
2016-01-21,-3.5
2016-01-22,-7.4
2016-01-23,-1.3
2016-01-24,2.6
2016-01-25,7.1
2016-01-26,7.0
2016-01-27,8.6
2016-01-28,6.6
2016-01-29,4.8
2016-01-30,7.1
2016-01-31,3.6
2016-02-01,6.8
2016-02-02,8.7
2016-02-03,4.9
2016-02-04,2.2
2016-02-05,3.0
2016-02-06,7.3
2016-02-07,7.3
2016-02-08,6.9
2016-02-09,7.4
2016-02-10,4.7
2016-02-11,4.0
2016-02-12,2.1
2016-02-13,1.3
2016-02-14,2.8
2016-02-15,2.7
2016-02-16,0.7
2016-02-17,0.1
2016-02-18,1.8
2016-02-19,1.9
2016-02-20,3.1
2016-02-21,8.1
2016-02-22,6.6
2016-02-23,4.5
2016-02-24,2.4
2016-02-25,0.3
2016-02-26,1.0
2016-02-27,0.2
2016-02-28,1.9
2016-02-29,1.1
2016-03-01,0.9
2016-03-02,4.0
2016-03-03,2.5
2016-03-04,2.7
2016-03-05,4.8
2016-03-06,2.3
2016-03-07,2.1
2016-03-08,2.0
2016-03-09,2.4
2016-03-10,4.1
2016-03-11,3.5
2016-03-12,2.6
2016-03-13,1.5
2016-03-14,2.6
2016-03-15,4.3
